,DB12582,1437,-1,编号,数字部分,新编号
574,DB01919,7095,-1,246,01919,246
575,DB01919,716,-1,246,01919,246
576,DB01919,2266,-1,246,01919,246
577,DB01919,8493,1,246,01919,246
578,DB01919,2921,1,246,01919,246
579,DB01919,9982,1,246,01919,246
580,DB01919,23237,1,246,01919,246
581,DB01919,53335,1,246,01919,246
582,DB01919,54762,1,246,01919,246
583,DB01919,22795,1,246,01919,246
584,DB01919,192670,-1,246,01919,246
585,DB01919,138050,-1,246,01919,246
586,DB01919,10186,1,246,01919,246
587,DB01919,8529,1,246,01919,246
588,DB01919,5562,1,246,01919,246
589,DB01919,7462,1,246,01919,246
590,DB01919,4861,1,246,01919,246
591,DB01919,8654,1,246,01919,246
592,DB01919,5029,1,246,01919,246
593,DB01919,146909,-1,246,01919,246
594,DB01919,1512,1,246,01919,246
595,DB01919,9617,-1,246,01919,246
596,DB01919,1381,1,246,01919,246
597,DB01919,2998,-1,246,01919,246
598,DB01919,9187,-1,246,01919,246
599,DB01919,29923,-1,246,01919,246
600,DB01919,23406,1,246,01919,246
601,DB01919,57718,1,246,01919,246
602,DB01919,57110,1,246,01919,246
603,DB01919,9244,1,246,01919,246
604,DB01919,79929,1,246,01919,246
605,DB01919,3250,-1,246,01919,246
606,DB01919,6926,1,246,01919,246
607,DB01919,11247,1,246,01919,246
608,DB01919,1043,1,246,01919,246
609,DB01919,11083,-1,246,01919,246
610,DB01919,29121,-1,246,01919,246
611,DB01919,11064,-1,246,01919,246
612,DB01919,55810,-1,246,01919,246
613,DB01919,10023,-1,246,01919,246
614,DB01919,3570,-1,246,01919,246
615,DB01919,4324,1,246,01919,246
616,DB01919,7421,1,246,01919,246
617,DB01919,27300,1,246,01919,246
618,DB01919,2919,1,246,01919,246
619,DB01919,4761,1,246,01919,246
620,DB01919,9794,-1,246,01919,246
621,DB01919,79365,1,246,01919,246
622,DB01919,23041,-1,246,01919,246
623,DB01919,6535,1,246,01919,246
624,DB01919,23057,1,246,01919,246
625,DB01919,472,-1,246,01919,246
626,DB01919,8537,-1,246,01919,246
627,DB01919,22852,-1,246,01919,246
628,DB01919,1305,1,246,01919,246
629,DB01919,4920,1,246,01919,246
630,DB01919,18,1,246,01919,246
631,DB01919,316,1,246,01919,246
632,DB01919,1365,1,246,01919,246
633,DB01919,3176,-1,246,01919,246
634,DB01919,140545,-1,246,01919,246
635,DB01919,4248,1,246,01919,246
636,DB01919,23392,-1,246,01919,246
637,DB01919,27345,1,246,01919,246
638,DB01919,56145,1,246,01919,246
639,DB01919,8913,1,246,01919,246
640,DB01919,8605,1,246,01919,246
641,DB01919,970,1,246,01919,246
642,DB01919,7080,1,246,01919,246
643,DB01919,26528,-1,246,01919,246
644,DB01919,57326,-1,246,01919,246
645,DB01919,51083,1,246,01919,246
646,DB01919,3866,1,246,01919,246
647,DB01919,11120,1,246,01919,246
648,DB01919,57157,-1,246,01919,246
649,DB01919,57863,1,246,01919,246
650,DB01919,1316,-1,246,01919,246
651,DB01919,51700,1,246,01919,246
652,DB01919,8638,1,246,01919,246
653,DB01919,284217,1,246,01919,246
654,DB01919,5174,-1,246,01919,246
655,DB01919,90141,-1,246,01919,246
656,DB01919,29802,1,246,01919,246
657,DB01919,4661,1,246,01919,246
658,DB01919,6364,1,246,01919,246
659,DB01919,3732,1,246,01919,246
660,DB01919,441024,-1,246,01919,246
661,DB01919,5346,-1,246,01919,246
662,DB01919,6546,1,246,01919,246
663,DB01919,4983,-1,246,01919,246
664,DB01919,26512,-1,246,01919,246
665,DB01919,79441,-1,246,01919,246
666,DB01919,80329,1,246,01919,246
667,DB01919,50717,-1,246,01919,246
668,DB01919,213,-1,246,01919,246
669,DB01919,4162,1,246,01919,246
670,DB01919,9783,1,246,01919,246
671,DB01919,3486,-1,246,01919,246
672,DB01919,5602,-1,246,01919,246
673,DB01919,5317,-1,246,01919,246
674,DB01919,3604,1,246,01919,246
675,DB01919,55110,-1,246,01919,246
676,DB01919,59272,1,246,01919,246
677,DB01919,974,1,246,01919,246
678,DB01919,1647,1,246,01919,246
679,DB01919,10750,-1,246,01919,246
680,DB01919,6653,1,246,01919,246
681,DB01919,7168,1,246,01919,246
682,DB01919,7425,1,246,01919,246
683,DB01919,4118,1,246,01919,246
684,DB01919,8787,1,246,01919,246
685,DB01919,9201,1,246,01919,246
686,DB01919,22834,-1,246,01919,246
687,DB01919,10021,1,246,01919,246
688,DB01919,140290,-1,246,01919,246
689,DB01919,2674,1,246,01919,246
690,DB01919,64375,-1,246,01919,246
691,DB01919,5271,1,246,01919,246
692,DB01919,23554,1,246,01919,246
693,DB01919,3755,1,246,01919,246
694,DB01919,84159,-1,246,01919,246
695,DB01919,2983,1,246,01919,246
696,DB01919,26052,1,246,01919,246
697,DB01919,79012,1,246,01919,246
698,DB01919,7481,1,246,01919,246
699,DB01919,79772,1,246,01919,246
700,DB01919,6352,1,246,01919,246
701,DB01919,22875,1,246,01919,246
702,DB01919,51450,1,246,01919,246
703,DB01919,347733,1,246,01919,246
704,DB01919,925,1,246,01919,246
705,DB01919,8728,1,246,01919,246
706,DB01919,9355,1,246,01919,246
707,DB01919,26040,-1,246,01919,246
708,DB01919,1911,-1,246,01919,246
709,DB01919,11182,1,246,01919,246
710,DB01919,26353,1,246,01919,246
711,DB01919,5156,1,246,01919,246
712,DB01919,8477,1,246,01919,246
713,DB01919,55779,-1,246,01919,246
714,DB01919,81571,-1,246,01919,246
715,DB01919,2775,1,246,01919,246
716,DB01919,64940,-1,246,01919,246
717,DB01919,4794,1,246,01919,246
